id;email;password;role;status;created_at;updated_at
1;Fleta_Beier59@hotmail.com;but anxiously;MITRA;INACTIVE;2025-10-14T20:35:26;2025-10-14T16:23:29
2;Treva86@hotmail.com;junior react;MITRA;INACTIVE;2025-10-15T06:21:40;2025-10-14T14:22:09
3;Milton_Kertzmann28@yahoo.com;nab past deck;MITRA;ACTIVE;2025-10-15T03:21:16;2025-10-14T14:48:21
4;Erik94@gmail.com;viceXXXX;ADMIN;ACTIVE;2025-10-14T09:27:54;2025-10-14T13:03:13
5;Lura.Fisher17@hotmail.com;whose print;ADMIN;INACTIVE;2025-10-15T02:37:24;2025-10-15T06:27:15
6;Rachael15@hotmail.com;waterspout happy-go-lucky;CUSTOMER;INACTIVE;2025-10-14T18:47:19;2025-10-15T03:56:45
7;Taylor_Ortiz@hotmail.com;abaftXXX;ADMIN;ACTIVE;2025-10-14T20:36:59;2025-10-15T06:24:52
8;Bridget.Schaden@hotmail.com;ew as hoot;CUSTOMER;INACTIVE;2025-10-14T12:39:14;2025-10-14T08:11:05
9;Wilma.Walter@yahoo.com;lest corral;ADMIN;INACTIVE;2025-10-15T05:24:30;2025-10-14T21:45:38
10;Elsie85@gmail.com;dreamily drat watery;ADMIN;ACTIVE;2025-10-15T01:54:29;2025-10-15T02:50:09
