id;full_name;phone;address;avatar
1;evenly legal whoa;(741) 808-0672;geez weight which;qua drat
2;putrefy;461-273-4779 x8;versusXXXX;ribbon yippee screw
3;devil limping;716.382.2485 x0;clear-cut meanwhile regarding;commercial until
4;throughout instead um;559-442-5545 x3;thoughXXXX;throughout boo fooey
5;that gloss;(441) 369-9524 ;meanwhile legging;blind
6;quaintly;(302) 821-8097 ;against drat;majestic chow bashfully
7;ignorant boohoo willfully;425.298.1251 x9;appropriate;upright yet likewise
8;the faraway frankly;(501) 244-6365;informal toward;next
9;unabashedly suffocate zealous;202.260.8859 x7;iterate sediment usually;valley minus
10;weekly mutate who;1-801-525-3839 ;abaft cap who;outside
